Teacher,Student,KD,alpha,T,Stem,Seeds,Val acc (%),Test@best (%),Test@final (%)
-,resnet18,none,-,-,cifar,"5 [0, 1, 2, 3, 4]",95.37 ± 0.18,94.86 ± 0.14,94.82 ± 0.16
-,resnet34,none,-,-,cifar,"5 [0, 1, 2, 3, 4]",95.58 ± 0.26,95.04 ± 0.13,95.04 ± 0.12
resnet101,resnet34,feature,0.3,-,cifar,"5 [0, 1, 2, 3, 4]",95.63 ± 0.21,95.26 ± 0.11,95.23 ± 0.10
resnet101,resnet34,logit,0.7,2,cifar,"5 [0, 1, 2, 3, 4]",95.61 ± 0.13,95.10 ± 0.16,95.12 ± 0.11
resnet34,resnet18,feature,0.7,-,cifar,"5 [0, 1, 2, 3, 4]",95.59 ± 0.14,94.98 ± 0.15,95.02 ± 0.08
resnet34,resnet18,logit,0.7,2,cifar,"5 [0, 1, 2, 3, 4]",95.40 ± 0.19,94.78 ± 0.09,94.80 ± 0.16
resnet50,resnet18,feature,0.7,-,cifar,"5 [0, 1, 2, 3, 4]",95.48 ± 0.25,94.95 ± 0.20,94.93 ± 0.26
resnet50,resnet18,logit,0.5,4,cifar,"5 [0, 1, 2, 3, 4]",95.50 ± 0.15,94.91 ± 0.08,94.94 ± 0.09
resnet50,resnet34,feature,0.5,-,cifar,"5 [0, 1, 2, 3, 4]",95.73 ± 0.24,95.24 ± 0.10,95.23 ± 0.11
resnet50,resnet34,logit,0.3,3,cifar,"5 [0, 1, 2, 3, 4]",95.53 ± 0.24,95.13 ± 0.16,95.20 ± 0.12
